ticker,target_date,settlement_value,open_time,close_time,floor_strike,cap_strike,bracket_type,raw_settlement_temp
HIGHNY-24OCT01-B66.5,2024-10-01,no,2024-09-30T14:00:00Z,2024-10-02T03:59:00Z,66.0,67.0,central,
HIGHNY-24OCT01-B68.5,2024-10-01,yes,2024-09-30T14:00:00Z,2024-10-02T03:59:00Z,68.0,69.0,central,69.00
HIGHNY-24OCT01-B70.5,2024-10-01,no,2024-09-30T14:00:00Z,2024-10-02T03:59:00Z,70.0,71.0,central,
HIGHNY-24OCT01-B72.5,2024-10-01,no,2024-09-30T14:00:00Z,2024-10-02T03:59:00Z,72.0,73.0,central,
HIGHNY-24OCT01-T66,2024-10-01,no,2024-09-30T14:00:00Z,2024-10-02T03:59:00Z,,66.0,wing_low,
HIGHNY-24OCT01-T73,2024-10-01,no,2024-09-30T14:00:00Z,2024-10-02T03:59:00Z,73.0,,wing_high,
HIGHNY-24OCT02-B64.5,2024-10-02,no,2024-10-01T14:00:00Z,2024-10-03T03:59:00Z,64.0,65.0,central,
HIGHNY-24OCT02-B66.5,2024-10-02,no,2024-10-01T14:00:00Z,2024-10-03T03:59:00Z,66.0,67.0,central,
HIGHNY-24OCT02-B68.5,2024-10-02,yes,2024-10-01T14:00:00Z,2024-10-03T03:59:00Z,68.0,69.0,central,68.00
HIGHNY-24OCT02-B70.5,2024-10-02,no,2024-10-01T14:00:00Z,2024-10-03T03:59:00Z,70.0,71.0,central,
HIGHNY-24OCT02-T64,2024-10-02,no,2024-10-01T14:00:00Z,2024-10-03T03:59:00Z,,64.0,wing_low,
HIGHNY-24OCT02-T71,2024-10-02,no,2024-10-01T14:00:00Z,2024-10-03T03:59:00Z,71.0,,wing_high,
HIGHNY-24OCT03-B68.5,2024-10-03,no,2024-10-02T14:00:00Z,2024-10-04T03:59:00Z,68.0,69.0,central,
HIGHNY-24OCT03-B70.5,2024-10-03,no,2024-10-02T14:00:00Z,2024-10-04T03:59:00Z,70.0,71.0,central,
HIGHNY-24OCT03-B72.5,2024-10-03,yes,2024-10-02T14:00:00Z,2024-10-04T03:59:00Z,72.0,73.0,central,72.00
HIGHNY-24OCT03-B74.5,2024-10-03,no,2024-10-02T14:00:00Z,2024-10-04T03:59:00Z,74.0,75.0,central,
HIGHNY-24OCT03-T68,2024-10-03,no,2024-10-02T14:00:00Z,2024-10-04T03:59:00Z,,68.0,wing_low,
HIGHNY-24OCT03-T75,2024-10-03,no,2024-10-02T14:00:00Z,2024-10-04T03:59:00Z,75.0,,wing_high,
HIGHNY-24OCT04-B70.5,2024-10-04,no,2024-10-03T14:00:00Z,2024-10-05T03:59:00Z,70.0,71.0,central,
HIGHNY-24OCT04-B72.5,2024-10-04,yes,2024-10-03T14:00:00Z,2024-10-05T03:59:00Z,72.0,73.0,central,73.00
HIGHNY-24OCT04-B74.5,2024-10-04,no,2024-10-03T14:00:00Z,2024-10-05T03:59:00Z,74.0,75.0,central,
HIGHNY-24OCT04-B76.5,2024-10-04,no,2024-10-03T14:00:00Z,2024-10-05T03:59:00Z,76.0,77.0,central,
HIGHNY-24OCT04-T70,2024-10-04,no,2024-10-03T14:00:00Z,2024-10-05T03:59:00Z,,70.0,wing_low,
HIGHNY-24OCT04-T77,2024-10-04,no,2024-10-03T14:00:00Z,2024-10-05T03:59:00Z,77.0,,wing_high,
HIGHNY-24OCT05-B71.5,2024-10-05,no,2024-10-04T14:00:00Z,2024-10-06T03:59:00Z,71.0,72.0,central,
HIGHNY-24OCT05-B73.5,2024-10-05,no,2024-10-04T14:00:00Z,2024-10-06T03:59:00Z,73.0,74.0,central,
HIGHNY-24OCT05-B75.5,2024-10-05,yes,2024-10-04T14:00:00Z,2024-10-06T03:59:00Z,75.0,76.0,central,75.00
HIGHNY-24OCT05-B77.5,2024-10-05,no,2024-10-04T14:00:00Z,2024-10-06T03:59:00Z,77.0,78.0,central,
HIGHNY-24OCT05-T71,2024-10-05,no,2024-10-04T14:00:00Z,2024-10-06T03:59:00Z,,71.0,wing_low,
HIGHNY-24OCT05-T78,2024-10-05,no,2024-10-04T14:00:00Z,2024-10-06T03:59:00Z,78.0,,wing_high,
HIGHNY-24OCT06-B67.5,2024-10-06,no,2024-10-05T14:00:00Z,2024-10-07T03:59:00Z,67.0,68.0,central,
HIGHNY-24OCT06-B69.5,2024-10-06,no,2024-10-05T14:00:00Z,2024-10-07T03:59:00Z,69.0,70.0,central,
HIGHNY-24OCT06-B71.5,2024-10-06,yes,2024-10-05T14:00:00Z,2024-10-07T03:59:00Z,71.0,72.0,central,71.00
HIGHNY-24OCT06-B73.5,2024-10-06,no,2024-10-05T14:00:00Z,2024-10-07T03:59:00Z,73.0,74.0,central,
HIGHNY-24OCT06-T67,2024-10-06,no,2024-10-05T14:00:00Z,2024-10-07T03:59:00Z,,67.0,wing_low,
HIGHNY-24OCT06-T74,2024-10-06,no,2024-10-05T14:00:00Z,2024-10-07T03:59:00Z,74.0,,wing_high,
HIGHNY-24OCT07-B68.5,2024-10-07,no,2024-10-06T14:00:00Z,2024-10-08T03:59:00Z,68.0,69.0,central,
HIGHNY-24OCT07-B70.5,2024-10-07,no,2024-10-06T14:00:00Z,2024-10-08T03:59:00Z,70.0,71.0,central,
HIGHNY-24OCT07-B72.5,2024-10-07,no,2024-10-06T14:00:00Z,2024-10-08T03:59:00Z,72.0,73.0,central,
HIGHNY-24OCT07-B74.5,2024-10-07,yes,2024-10-06T14:00:00Z,2024-10-08T03:59:00Z,74.0,75.0,central,75.00
HIGHNY-24OCT07-T68,2024-10-07,no,2024-10-06T14:00:00Z,2024-10-08T03:59:00Z,,68.0,wing_low,
HIGHNY-24OCT07-T75,2024-10-07,no,2024-10-06T14:00:00Z,2024-10-08T03:59:00Z,75.0,,wing_high,
HIGHNY-24OCT08-B64.5,2024-10-08,no,2024-10-07T14:00:00Z,2024-10-09T03:59:00Z,64.0,65.0,central,
HIGHNY-24OCT08-B66.5,2024-10-08,no,2024-10-07T14:00:00Z,2024-10-09T03:59:00Z,66.0,67.0,central,
HIGHNY-24OCT08-B68.5,2024-10-08,yes,2024-10-07T14:00:00Z,2024-10-09T03:59:00Z,68.0,69.0,central,68.00
HIGHNY-24OCT08-B70.5,2024-10-08,no,2024-10-07T14:00:00Z,2024-10-09T03:59:00Z,70.0,71.0,central,
HIGHNY-24OCT08-T64,2024-10-08,no,2024-10-07T14:00:00Z,2024-10-09T03:59:00Z,,64.0,wing_low,
HIGHNY-24OCT08-T71,2024-10-08,no,2024-10-07T14:00:00Z,2024-10-09T03:59:00Z,71.0,,wing_high,
HIGHNY-24OCT09-B63.5,2024-10-09,no,2024-10-08T14:00:00Z,2024-10-10T03:59:00Z,63.0,64.0,central,
HIGHNY-24OCT09-B65.5,2024-10-09,no,2024-10-08T14:00:00Z,2024-10-10T03:59:00Z,65.0,66.0,central,
HIGHNY-24OCT09-B67.5,2024-10-09,yes,2024-10-08T14:00:00Z,2024-10-10T03:59:00Z,67.0,68.0,central,68.00
HIGHNY-24OCT09-B69.5,2024-10-09,no,2024-10-08T14:00:00Z,2024-10-10T03:59:00Z,69.0,70.0,central,
HIGHNY-24OCT09-T63,2024-10-09,no,2024-10-08T14:00:00Z,2024-10-10T03:59:00Z,,63.0,wing_low,
HIGHNY-24OCT09-T70,2024-10-09,no,2024-10-08T14:00:00Z,2024-10-10T03:59:00Z,70.0,,wing_high,
HIGHNY-24OCT10-B57.5,2024-10-10,no,2024-10-09T14:00:00Z,2024-10-11T03:59:00Z,57.0,58.0,central,
HIGHNY-24OCT10-B59.5,2024-10-10,no,2024-10-09T14:00:00Z,2024-10-11T03:59:00Z,59.0,60.0,central,
HIGHNY-24OCT10-B61.5,2024-10-10,yes,2024-10-09T14:00:00Z,2024-10-11T03:59:00Z,61.0,62.0,central,62.00
HIGHNY-24OCT10-B63.5,2024-10-10,no,2024-10-09T14:00:00Z,2024-10-11T03:59:00Z,63.0,64.0,central,
HIGHNY-24OCT10-T57,2024-10-10,no,2024-10-09T14:00:00Z,2024-10-11T03:59:00Z,,57.0,wing_low,
HIGHNY-24OCT10-T64,2024-10-10,no,2024-10-09T14:00:00Z,2024-10-11T03:59:00Z,64.0,,wing_high,
HIGHNY-24OCT11-B64.5,2024-10-11,no,2024-10-10T14:00:00Z,2024-10-12T03:59:00Z,64.0,65.0,central,
HIGHNY-24OCT11-B66.5,2024-10-11,no,2024-10-10T14:00:00Z,2024-10-12T03:59:00Z,66.0,67.0,central,
HIGHNY-24OCT11-B68.5,2024-10-11,yes,2024-10-10T14:00:00Z,2024-10-12T03:59:00Z,68.0,69.0,central,68.00
HIGHNY-24OCT11-B70.5,2024-10-11,no,2024-10-10T14:00:00Z,2024-10-12T03:59:00Z,70.0,71.0,central,
