ticker,target_date,price_source,yes_price_open,yes_price_9AM,yes_price_11AM,yes_price_1PM,yes_price_3PM
HIGHNY-24OCT01-B66.5,2024-10-01,kalshi_candlesticks,0.16,0.11,0.11,0.05,0.04
HIGHNY-24OCT01-B68.5,2024-10-01,kalshi_candlesticks,0.51,0.37,0.24,0.24,0.33
HIGHNY-24OCT01-B70.5,2024-10-01,kalshi_candlesticks,0.25,0.61,0.64,0.6,0.74
HIGHNY-24OCT01-B72.5,2024-10-01,kalshi_candlesticks,0.01,0.05,0.05,0.05,0.01
HIGHNY-24OCT01-T66,2024-10-01,kalshi_candlesticks,0.03,0.01,0.01,0.01,0.01
HIGHNY-24OCT01-T73,2024-10-01,kalshi_candlesticks,0.01,0.01,0.01,0.01,0.01
HIGHNY-24OCT02-B64.5,2024-10-02,kalshi_candlesticks,0.09,0.02,0.01,0.01,0.01
HIGHNY-24OCT02-B66.5,2024-10-02,kalshi_candlesticks,0.31,0.31,0.29,0.24,0.1
HIGHNY-24OCT02-B68.5,2024-10-02,kalshi_candlesticks,0.38,0.53,0.59,0.81,0.85
HIGHNY-24OCT02-B70.5,2024-10-02,kalshi_candlesticks,0.13,0.13,0.11,0.04,0.03
HIGHNY-24OCT02-T64,2024-10-02,kalshi_candlesticks,0.01,0.01,0.01,0.01,0.01
HIGHNY-24OCT02-T71,2024-10-02,kalshi_candlesticks,0.11,0.11,0.01,0.01,0.02
HIGHNY-24OCT03-B68.5,2024-10-03,kalshi_candlesticks,0.02,0.02,0.01,0.01,0.01
HIGHNY-24OCT03-B70.5,2024-10-03,kalshi_candlesticks,0.49,0.32,0.2,0.12,0.2
HIGHNY-24OCT03-B72.5,2024-10-03,kalshi_candlesticks,0.41,0.62,0.7,0.62,0.5
HIGHNY-24OCT03-B74.5,2024-10-03,kalshi_candlesticks,0.04,0.04,0.01,0.12,0.12
HIGHNY-24OCT03-T68,2024-10-03,kalshi_candlesticks,0.01,0.01,0.01,0.01,0.01
HIGHNY-24OCT03-T75,2024-10-03,kalshi_candlesticks,0.01,0.01,0.01,0.01,0.01
HIGHNY-24OCT04-B70.5,2024-10-04,kalshi_candlesticks,0.04,0.09,0.09,0.01,0.01
HIGHNY-24OCT04-B72.5,2024-10-04,kalshi_candlesticks,0.33,0.35,0.31,0.78,0.17
HIGHNY-24OCT04-B74.5,2024-10-04,kalshi_candlesticks,0.43,0.56,0.58,0.24,0.8
HIGHNY-24OCT04-B76.5,2024-10-04,kalshi_candlesticks,0.02,0.02,0.02,0.02,0.02
HIGHNY-24OCT04-T70,2024-10-04,kalshi_candlesticks,0.01,0.01,0.01,0.01,0.01
