trades,win_rate,net_pnl,avg_entry,avg_gap_abs,avg_model_prob,avg_confidence,sharpe,max_drawdown,factor,value,losses,loss_net,loss_share
460,0.5760869565217391,17.37999999999999,0.5183043478260869,33.210069481325746,0.30225447465262284,63.52339130434783,0.08138412192841706,-17.04000000000001,sleeve,CORE,195,-93.5,0.42391304347826086
513,0.8966861598440545,31.85999999999998,0.8208187134502922,19.451663287244113,0.004664653677266463,48.3911306042885,0.22628740242655965,-10.41,sleeve,DEEP_TAIL_NO,53,-33.94,0.10331384015594541
818,0.8056234718826406,46.229999999999976,0.7330195599022004,24.429298691993672,0.03523024046392631,53.95243276283619,0.16147343761850252,-13.080000000000002,direction,NO,159,-92.31,0.19437652811735942
155,0.4258064516129032,3.009999999999999,0.38638709677419353,34.01399288848547,0.7265270256590483,63.95045161290322,0.039419090865256384,-9.919999999999998,direction,YES,89,-35.13,0.5741935483870968
764,0.7382198952879581,47.809999999999974,0.6584162303664922,26.178469211394074,0.16210936227322015,55.57846858638743,0.1640066540739169,-14.139999999999986,bracket_type,central,200,-100.93,0.2617801047120419
109,0.9541284403669725,12.869999999999996,0.8222935779816514,18.31191207734765,0.017376471833761415,50.72504587155963,0.5495201656711621,-1.9000000000000021,bracket_type,wing_high,5,-3.0100000000000002,0.045871559633027525
100,0.57,-11.440000000000003,0.6684,32.58986333830107,0.1568443747002401,60.544300000000014,-0.26653208190040234,-20.15,bracket_type,wing_low,43,-23.500000000000004,0.43
30,0.9666666666666667,7.929999999999999,0.6866666666666669,24.18661040652062,0.20105098011685935,45.689333333333344,1.0032120270638316,-0.5499999999999998,month,2024-10,1,-0.55,0.03333333333333333
42,0.9761904761904762,9.969999999999999,0.7233333333333335,22.77870497422705,0.11773692545090884,54.31809523809523,0.9382569643537374,-0.5199999999999996,month,2024-11,1,-0.52,0.023809523809523808
59,0.6779661016949152,-0.28000000000000214,0.665593220338983,25.471013652509384,0.1386051357340062,57.54525423728813,-0.01231347121055155,-3.9000000000000017,month,2024-12,19,-9.8,0.3220338983050847
69,0.43478260869565216,-11.990000000000002,0.5905797101449275,37.337483031138575,0.13532407784594983,65.05304347826086,-0.4497750622221671,-13.760000000000003,month,2025-01,39,-18.76,0.5652173913043478
63,0.7301587301587301,3.0699999999999976,0.6644444444444443,30.457721415235397,0.07846003191525436,56.32,0.11487816834458268,-4.42,month,2025-02,17,-9.27,0.2698412698412698
65,0.7230769230769231,2.949999999999998,0.6603076923076923,26.451368334138113,0.15892016354367938,56.200307692307696,0.12605610157150945,-3.450000000000001,month,2025-03,18,-8.55,0.27692307692307694
57,0.7543859649122807,3.4199999999999977,0.6775438596491228,22.836430964226338,0.1915477180220945,55.94403508771931,0.16228074511194857,-1.64,month,2025-04,14,-6.819999999999999,0.24561403508771928
57,0.8771929824561403,8.579999999999998,0.7108771929824562,20.700397171492217,0.20717409567607628,51.39649122807018,0.48432461897429574,-1.09,month,2025-05,7,-3.62,0.12280701754385964
51,0.7647058823529411,2.8699999999999988,0.6909803921568628,26.487479463200035,0.14559681903068653,53.45941176470589,0.13792447091318719,-2.7200000000000006,month,2025-06,12,-7.240000000000001,0.23529411764705882
45,0.8,3.1999999999999993,0.712888888888889,21.220690564773058,0.16726822727732027,45.67933333333334,0.18664683649371117,-2.54,month,2025-07,9,-5.430000000000001,0.2
34,0.9705882352941176,8.159999999999998,0.7144117647058823,21.787279433474747,0.16126491989849423,52.35441176470589,0.948818082919852,-0.6500000000000004,month,2025-08,1,-0.65,0.029411764705882353
31,0.8064516129032258,4.879999999999998,0.6316129032258064,26.606789759879806,0.1405929612909277,59.47096774193548,0.44870898274044274,-0.7600000000000007,month,2025-09,6,-2.59,0.1935483870967742
40,0.825,7.35,0.62425,23.528062959710134,0.251749684886736,57.82874999999999,0.5147977315844927,-0.8799999999999999,month,2025-10,7,-2.9699999999999998,0.175
