trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,target,stop_diff,exit_counts
460,323,0.2956521739130435,83,0.25696594427244585,-39.470000000000006,-22.410000000000004,-0.3855897230389649,-42.23999999999998,0.5183043478260869,0.53,-0.15091906716560313,CORE_CHECKPOINT_EXIT,0.6,0.1,"{""SETTLEMENT"": 44, ""STOP_11AM"": 59, ""STOP_1PM"": 68, ""STOP_3PM"": 39, ""TARGET_11AM"": 166, ""TARGET_1PM"": 41, ""TARGET_3PM"": 43}"
460,323,0.33043478260869563,93,0.28792569659442724,-40.07000000000001,-23.360000000000007,-0.3532733305590248,-43.25999999999998,0.5183043478260869,0.53,-0.14668340382403067,CORE_CHECKPOINT_EXIT,0.6,0.15,"{""SETTLEMENT"": 58, ""STOP_11AM"": 28, ""STOP_1PM"": 61, ""STOP_3PM"": 43, ""TARGET_11AM"": 166, ""TARGET_1PM"": 51, ""TARGET_3PM"": 53}"
460,323,0.36086956521739133,103,0.3188854489164087,-38.300000000000004,-21.900000000000006,-0.31452080071415695,-41.92,0.5183043478260869,0.53,-0.13442214035079705,CORE_CHECKPOINT_EXIT,0.6,0.2,"{""SETTLEMENT"": 71, ""STOP_11AM"": 15, ""STOP_1PM"": 41, ""STOP_3PM"": 53, ""TARGET_11AM"": 166, ""TARGET_1PM"": 52, ""TARGET_3PM"": 62}"
460,323,0.3847826086956522,113,0.3498452012383901,-35.55000000000001,-19.540000000000006,-0.2751804749334942,-39.17000000000001,0.5183043478260869,0.53,-0.11818544492307301,CORE_CHECKPOINT_EXIT,0.6,0.25,"{""SETTLEMENT"": 91, ""STOP_11AM"": 10, ""STOP_1PM"": 22, ""STOP_3PM"": 51, ""TARGET_11AM"": 166, ""TARGET_1PM"": 53, ""TARGET_3PM"": 67}"
460,323,0.40869565217391307,122,0.37770897832817335,-33.10000000000001,-18.020000000000003,-0.23936641104791778,-38.57000000000002,0.5183043478260869,0.53,-0.10815957587016423,CORE_CHECKPOINT_EXIT,0.6,none,"{""SETTLEMENT"": 166, ""TARGET_11AM"": 166, ""TARGET_1PM"": 55, ""TARGET_3PM"": 73}"
460,323,0.3391304347826087,103,0.3188854489164087,-32.779999999999994,-16.04999999999999,-0.29125106285728863,-37.20999999999997,0.5183043478260869,0.53,-0.13213348736144237,CORE_CHECKPOINT_EXIT,0.65,0.1,"{""SETTLEMENT"": 59, ""STOP_11AM"": 61, ""STOP_1PM"": 75, ""STOP_3PM"": 45, ""TARGET_11AM"": 121, ""TARGET_1PM"": 60, ""TARGET_3PM"": 39}"
460,323,0.3847826086956522,115,0.3560371517027864,-32.03999999999999,-15.759999999999994,-0.2535280982717341,-36.96999999999997,0.5183043478260869,0.53,-0.11965791418463217,CORE_CHECKPOINT_EXIT,0.65,0.15,"{""SETTLEMENT"": 78, ""STOP_11AM"": 28, ""STOP_1PM"": 67, ""STOP_3PM"": 48, ""TARGET_11AM"": 121, ""TARGET_1PM"": 68, ""TARGET_3PM"": 50}"
460,323,0.4152173913043478,127,0.3931888544891641,-29.509999999999994,-13.629999999999992,-0.21702455799437512,-35.17999999999997,0.5183043478260869,0.53,-0.10378132303790091,CORE_CHECKPOINT_EXIT,0.65,0.2,"{""SETTLEMENT"": 95, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 59, ""TARGET_11AM"": 121, ""TARGET_1PM"": 69, ""TARGET_3PM"": 56}"
460,323,0.4434782608695652,133,0.4117647058823529,-25.57,-10.159999999999995,-0.17787960462472321,-31.23999999999998,0.5183043478260869,0.53,-0.08294898852966065,CORE_CHECKPOINT_EXIT,0.65,0.25,"{""SETTLEMENT"": 119, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 56, ""TARGET_11AM"": 121, ""TARGET_1PM"": 70, ""TARGET_3PM"": 59}"
460,323,0.4717391304347826,145,0.44891640866873067,-23.079999999999995,-8.719999999999995,-0.15039648140415932,-31.07999999999999,0.5183043478260869,0.53,-0.07272097310419176,CORE_CHECKPOINT_EXIT,0.65,none,"{""SETTLEMENT"": 202, ""TARGET_11AM"": 121, ""TARGET_1PM"": 72, ""TARGET_3PM"": 65}"
460,323,0.3826086956521739,111,0.34365325077399383,-29.25999999999999,-12.67999999999999,-0.24688116773843702,-34.579999999999984,0.5183043478260869,0.53,-0.12066074462725847,CORE_CHECKPOINT_EXIT,0.68,0.1,"{""SETTLEMENT"": 66, ""STOP_11AM"": 61, ""STOP_1PM"": 78, ""STOP_3PM"": 50, ""TARGET_11AM"": 101, ""TARGET_1PM"": 54, ""TARGET_3PM"": 50}"
460,323,0.4326086956521739,124,0.38390092879256965,-28.989999999999988,-12.889999999999988,-0.21832883550505303,-34.980000000000004,0.5183043478260869,0.53,-0.11049225763192806,CORE_CHECKPOINT_EXIT,0.68,0.15,"{""SETTLEMENT"": 86, ""STOP_11AM"": 28, ""STOP_1PM"": 68, ""STOP_3PM"": 54, ""TARGET_11AM"": 101, ""TARGET_1PM"": 60, ""TARGET_3PM"": 63}"
