trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,p_yes_max,yes_price_min,yes_price_max
912,414,0.9660087719298246,383,0.9251207729468599,56.510000000000005,67.19000000000001,0.2908870934828108,-14.979999999999999,0.8923355263157895,0.95,0.2421350989490412,DEEP_TAIL_NO,open,0.005,0.01,
726,381,0.9600550964187328,352,0.9238845144356955,58.510000000000005,67.32999999999998,0.3514578474730523,-13.979999999999999,0.8673140495867768,0.92,0.306952358487228,DEEP_TAIL_NO,open,0.005,0.03,
536,332,0.9533582089552238,307,0.9246987951807228,59.46,66.38,0.45128062708583133,-13.23,0.8295149253731343,0.89,0.41758239512514916,DEEP_TAIL_NO,open,0.005,0.05,
333,230,0.9279279279279279,206,0.8956521739130435,50.089999999999996,54.98,0.5012962111904808,-12.33,0.7628228228228228,0.84,0.641968582588553,DEEP_TAIL_NO,open,0.005,0.1,
209,159,0.9090909090909091,140,0.8805031446540881,42.959999999999994,46.61000000000001,0.61380685822614,-9.600000000000001,0.6860765550239234,0.73,0.9843367151790834,DEEP_TAIL_NO,open,0.005,0.15,
117,97,0.8461538461538461,79,0.8144329896907216,29.24,31.52,0.5764708108883901,-9.010000000000002,0.5767521367521367,0.63,1.6155908113900723,DEEP_TAIL_NO,open,0.005,0.25,
1022,428,0.9657534246575342,393,0.9182242990654206,67.22,79.30000000000001,0.3093991740809745,-14.689999999999998,0.888160469667319,0.94,0.2310618262677221,DEEP_TAIL_NO,open,0.01,0.01,
830,404,0.9614457831325302,372,0.9207920792079208,70.22,80.38000000000001,0.37757535962674554,-13.689999999999998,0.8646024096385544,0.92,0.28816324033242774,DEEP_TAIL_NO,open,0.01,0.03,
629,368,0.9554848966613673,340,0.9239130434782609,71.0,79.14999999999999,0.4738849993231482,-12.940000000000001,0.829650238473768,0.89,0.3815222722621589,DEEP_TAIL_NO,open,0.01,0.05,
398,270,0.9346733668341709,244,0.9037037037037037,61.13999999999999,66.97999999999999,0.5428571843759413,-12.23,0.7663819095477387,0.84,0.5763985871421564,DEEP_TAIL_NO,open,0.01,0.1,
251,189,0.9163346613545816,168,0.8888888888888888,51.68000000000001,56.05,0.6506739758184867,-9.6,0.6930278884462151,0.73,0.8714417604422138,DEEP_TAIL_NO,open,0.01,0.15,
142,116,0.8591549295774648,96,0.8275862068965517,35.43,38.21,0.6124398102677198,-8.940000000000001,0.5900704225352112,0.64,1.4013764331938454,DEEP_TAIL_NO,open,0.01,0.25,
1154,439,0.962738301559792,398,0.9066059225512528,79.78,93.67000000000002,0.31830043000086056,-14.200000000000001,0.8815684575389948,0.93,0.22053278893494616,DEEP_TAIL_NO,open,0.02,0.01,
952,429,0.9590336134453782,392,0.9137529137529138,83.78,95.65,0.3895566186393766,-13.200000000000001,0.858560924369748,0.91,0.27157063284803773,DEEP_TAIL_NO,open,0.02,0.03,
743,414,0.9528936742934051,381,0.9202898550724637,84.43,94.21000000000001,0.47539735958917934,-12.450000000000005,0.8260969044414536,0.89,0.34886077687740474,DEEP_TAIL_NO,open,0.02,0.05,
490,327,0.9326530612244898,296,0.9051987767584098,73.38,80.63,0.5339353526889228,-11.880000000000003,0.7681020408163265,0.83,0.5048061943341435,DEEP_TAIL_NO,open,0.02,0.1,
309,233,0.9158576051779935,209,0.8969957081545065,62.57999999999999,68.02,0.6561809729726222,-9.43,0.6957281553398058,0.73,0.7610875619194777,DEEP_TAIL_NO,open,0.02,0.15,
178,146,0.8651685393258427,123,0.8424657534246576,43.589999999999996,47.09,0.63196107207501,-8.940000000000001,0.6006179775280899,0.66,1.1911250393254875,DEEP_TAIL_NO,open,0.02,0.25,
1219,439,0.9573420836751435,390,0.8883826879271071,80.28,95.02000000000001,0.28806781499253586,-13.440000000000001,0.8793929450369156,0.92,0.21122006544222788,DEEP_TAIL_NO,open,0.03,0.01,
1012,429,0.9525691699604744,384,0.8951048951048951,84.28,96.94999999999999,0.3479170151185141,-12.440000000000001,0.8567687747035573,0.91,0.25841666384830025,DEEP_TAIL_NO,open,0.03,0.03,
799,417,0.9461827284105131,377,0.9040767386091128,85.88,96.41999999999999,0.425935378021026,-11.690000000000001,0.8255068836045055,0.89,0.3293556394552265,DEEP_TAIL_NO,open,0.03,0.05,
534,344,0.9269662921348315,308,0.8953488372093024,76.11,84.0,0.4916001859054908,-11.120000000000003,0.7696629213483146,0.83,0.4731216339581811,DEEP_TAIL_NO,open,0.03,0.1,
336,248,0.9077380952380952,220,0.8870967741935484,64.67999999999999,70.59,0.5974515730608894,-9.05,0.6976488095238095,0.725,0.7135479411438508,DEEP_TAIL_NO,open,0.03,0.15,
195,159,0.8666666666666667,134,0.8427672955974843,47.199999999999996,51.040000000000006,0.6293557612905003,-8.56,0.6049230769230769,0.66,1.1199184884090785,DEEP_TAIL_NO,open,0.03,0.25,
1332,441,0.9451951951951952,375,0.8503401360544217,80.61,96.99000000000001,0.24217858483188212,-12.360000000000003,0.8723798798798799,0.92,0.19655928164474662,DEEP_TAIL_NO,open,0.05,0.01,
1117,432,0.9400179051029544,371,0.8587962962962963,86.61,100.84,0.2985488738907081,-11.360000000000003,0.849740376007162,0.9,0.2398187727944571,DEEP_TAIL_NO,open,0.05,0.03,
