trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,gate_profile,gap_threshold,dead_zone_enabled,price_band,min_price,max_price,directions,family,source,target,stop_diff,exit_counts,path_available_trades,path_available_rate,p_yes_max,yes_price_min,yes_price_max
1439,545,0.665045170257123,327,0.6,143.57,170.44,0.23008159391492922,-12.450000000000003,0.5466018068102849,0.6,0.25610769456511306,CORE,open,no_gate1,5.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1165,533,0.6721030042918454,333,0.624765478424015,143.01,165.23999999999998,0.28683064908567224,-12.290000000000006,0.5302660944206008,0.56,0.30118513530710683,CORE,open,no_gate1,15.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1345,544,0.670631970260223,326,0.5992647058823529,142.26,167.39999999999998,0.24615634818272072,-12.100000000000009,0.5461710037174722,0.5900000000000001,0.26414494525934373,CORE,open,no_gate1,10.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1320,537,0.6727272727272727,329,0.6126629422718808,133.2,157.71,0.23269000437761683,-12.639999999999985,0.55325,0.6,0.2702762886834289,CORE,open,no_gate1,5.0,True,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1046,512,0.6826003824091779,330,0.64453125,132.64,152.51000000000002,0.29683430254280924,-12.71,0.5367973231357552,0.5700000000000001,0.3241935097664513,CORE,open,no_gate1,15.0,True,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1226,534,0.6794453507340946,328,0.6142322097378277,131.89,154.67000000000002,0.25058244728061163,-12.79,0.5532871125611745,0.6,0.2801799999647194,CORE,open,no_gate1,10.0,True,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1240,472,0.6645161290322581,283,0.5995762711864406,127.23999999999998,150.38,0.23760396945106155,-11.650000000000006,0.543241935483871,0.5800000000000001,0.26165716235956843,CORE,open,loose_3f_between,5.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1015,463,0.670935960591133,288,0.6220302375809935,126.88,146.24,0.29274099938487236,-12.21,0.5268571428571428,0.55,0.30610205238199933,CORE,open,loose_3f_between,15.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1158,472,0.6701208981001727,281,0.5953389830508474,125.84999999999998,147.49,0.253545663731547,-12.020000000000008,0.5427547495682211,0.5800000000000001,0.27107819953858575,CORE,open,loose_3f_between,10.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1028,521,0.6682879377431906,318,0.6103646833013435,124.48999999999998,144.38,0.2869819356011813,-5.599999999999952,0.52784046692607,0.56,0.2684708808581344,CORE,open,no_gate1,15.0,False,15_85,0.15,0.85,both,central,core_grid,,,,,,,,
1179,536,0.6615776081424937,317,0.5914179104477612,121.82,144.31,0.24152402772079182,-9.059999999999889,0.5391772688719254,0.5800000000000001,0.23635040218758815,CORE,open,no_gate1,10.0,False,15_85,0.15,0.85,both,central,core_grid,,,,,,,,
1267,537,0.6550907655880032,320,0.595903165735568,121.77999999999997,145.93,0.22206232946950552,-12.039999999999893,0.5399131807419101,0.5800000000000001,0.22675609159157714,CORE,open,no_gate1,5.0,False,15_85,0.15,0.85,both,central,core_grid,,,,,,,,
1138,464,0.6731107205623902,284,0.6120689655172413,119.13,140.25,0.24240220016473313,-11.249999999999988,0.5498681898066784,0.6,0.2788903838497744,CORE,open,loose_3f_between,5.0,True,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
913,444,0.6823658269441402,285,0.6418918918918919,118.76999999999998,136.11,0.30520051232841156,-12.270000000000001,0.5332858707557503,0.56,0.3325475998498442,CORE,open,loose_3f_between,15.0,True,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1008,523,0.6656746031746031,320,0.6118546845124283,118.63999999999999,138.8,0.26708334972593384,-12.120000000000005,0.5279761904761905,0.55,0.25912049665641884,CORE,open,no_gate1,15.0,False,20_80,0.2,0.8,both,all,core_grid,,,,,,,,
1056,462,0.6799242424242424,282,0.6103896103896104,117.74,137.36,0.26033716264517626,-12.350000000000003,0.5498484848484849,0.6,0.2905595933341485,CORE,open,loose_3f_between,10.0,True,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
939,427,0.6666666666666666,263,0.6159250585480094,115.97999999999999,133.89,0.2868861606719284,-12.360000000000007,0.5240788072417466,0.54,0.30864174550148715,CORE,open,current_backtest_gate,15.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1141,436,0.6590709903593339,258,0.591743119266055,115.79999999999998,137.11,0.23313430247199785,-11.650000000000002,0.5389044697633655,0.5700000000000001,0.26566286077135143,CORE,open,current_backtest_gate,5.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1069,436,0.6651075771749299,257,0.5894495412844036,115.20999999999998,135.20999999999998,0.2500176591361565,-12.440000000000005,0.538624883068288,0.56,0.273351877410036,CORE,open,current_backtest_gate,10.0,False,15_85,0.15,0.85,both,all,core_grid,,,,,,,,
1186,538,0.6441821247892074,318,0.5910780669144982,114.71999999999998,138.44,0.21495911519606944,-12.909999999999995,0.5274536256323777,0.55,0.219379813208152,CORE,open,no_gate1,5.0,False,20_80,0.2,0.8,both,all,core_grid,,,,,,,,
460,323,0.5760869565217391,171,0.5294117647058824,17.37999999999999,26.58,0.08138412192841706,-17.04000000000001,0.5183043478260869,0.53,0.06922821269349648,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,none,none,"{""SETTLEMENT"": 460}",,,,,
460,323,0.5347826086956522,163,0.5046439628482973,11.179999999999998,21.86,0.05462775126533316,-16.120000000000005,0.5183043478260869,0.53,0.04607705995612563,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,none,0.25,"{""SETTLEMENT"": 349, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 76}",,,,,
460,323,0.5043478260869565,157,0.48606811145510836,5.569999999999995,16.84,0.027985442178929832,-18.060000000000002,0.5183043478260869,0.53,0.0194984602751496,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,none,0.2,"{""SETTLEMENT"": 319, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 81}",,,,,
460,323,0.4717391304347826,155,0.47987616099071206,3.749999999999998,15.68,0.01985613886035436,-17.380000000000003,0.5183043478260869,0.53,0.006493317410200557,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,none,0.15,"{""SETTLEMENT"": 290, ""STOP_11AM"": 28, ""STOP_1PM"": 70, ""STOP_3PM"": 72}",,,,,
460,323,0.41739130434782606,148,0.4582043343653251,-1.3299999999999996,11.510000000000002,-0.007652705759541788,-17.02,0.5183043478260869,0.53,-0.023747521280415455,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,none,0.1,"{""SETTLEMENT"": 249, ""STOP_11AM"": 61, ""STOP_1PM"": 83, ""STOP_3PM"": 67}",,,,,
460,323,0.6065217391304348,181,0.5603715170278638,-7.999999999999999,4.780000000000005,-0.0428795720239995,-21.499999999999986,0.5183043478260869,0.53,-0.027434301892951592,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.8,none,"{""SETTLEMENT"": 281, ""TARGET_11AM"": 38, ""TARGET_1PM"": 54, ""TARGET_3PM"": 87}",,,,,
460,323,0.5673913043478261,169,0.5232198142414861,-12.259999999999996,1.8100000000000103,-0.0693467183350901,-23.069999999999993,0.5183043478260869,0.53,-0.043931586037296015,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.8,0.25,"{""SETTLEMENT"": 181, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 72, ""TARGET_11AM"": 38, ""TARGET_1PM"": 54, ""TARGET_3PM"": 80}",,,,,
460,323,0.5978260869565217,175,0.541795665634675,-13.700000000000005,-0.41999999999999993,-0.07818478627993627,-25.46999999999999,0.5183043478260869,0.53,-0.05175624095033521,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.75,none,"{""SETTLEMENT"": 256, ""TARGET_11AM"": 64, ""TARGET_1PM"": 56, ""TARGET_3PM"": 84}",,,,,
460,323,0.5608695652173913,163,0.5046439628482973,-16.940000000000005,-2.410000000000003,-0.10275958636610924,-26.37999999999999,0.5183043478260869,0.53,-0.06489950989240223,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.75,0.25,"{""SETTLEMENT"": 159, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 69, ""TARGET_11AM"": 64, ""TARGET_1PM"": 56, ""TARGET_3PM"": 77}",,,,,
460,323,0.5347826086956522,156,0.48297213622291024,-17.54000000000002,-3.7200000000000095,-0.10709216105397756,-27.20000000000001,0.5183043478260869,0.53,-0.0629722765902413,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.7,none,"{""SETTLEMENT"": 229, ""TARGET_11AM"": 95, ""TARGET_1PM"": 59, ""TARGET_3PM"": 77}",,,,,
460,323,0.5369565217391304,162,0.5015479876160991,-17.649999999999995,-3.0099999999999896,-0.10404419422064261,-28.459999999999994,0.5183043478260869,0.53,-0.06975104148086694,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.8,0.2,"{""SETTLEMENT"": 152, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 77, ""TARGET_11AM"": 38, ""TARGET_1PM"": 54, ""TARGET_3PM"": 79}",,,,,
460,323,0.5304347826086957,155,0.47987616099071206,-18.219999999999995,-4.219999999999989,-0.11320291035312818,-27.359999999999992,0.5183043478260869,0.53,-0.05692553988352755,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.68,none,"{""SETTLEMENT"": 220, ""TARGET_11AM"": 101, ""TARGET_1PM"": 63, ""TARGET_3PM"": 76}",,,,,
460,323,0.5065217391304347,151,0.4674922600619195,-19.289999999999992,-4.0499999999999865,-0.12166516882017948,-28.479999999999997,0.5183043478260869,0.53,-0.08099519975874445,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.8,0.15,"{""SETTLEMENT"": 126, ""STOP_11AM"": 28, ""STOP_1PM"": 69, ""STOP_3PM"": 67, ""TARGET_11AM"": 38, ""TARGET_1PM"": 54, ""TARGET_3PM"": 78}",,,,,
460,323,0.5,144,0.4458204334365325,-20.850000000000016,-5.86000000000001,-0.13598832559539986,-28.180000000000003,0.5183043478260869,0.53,-0.07638064446927827,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.7,0.25,"{""SETTLEMENT"": 139, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 62, ""TARGET_11AM"": 95, ""TARGET_1PM"": 58, ""TARGET_3PM"": 71}",,,,,
460,323,0.4956521739130435,142,0.43962848297213625,-21.769999999999992,-6.639999999999988,-0.14436206787746428,-28.579999999999984,0.5183043478260869,0.53,-0.0713518329337679,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.68,0.25,"{""SETTLEMENT"": 132, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 60, ""TARGET_11AM"": 101, ""TARGET_1PM"": 62, ""TARGET_3PM"": 70}",,,,,
460,323,0.5304347826086957,156,0.48297213622291024,-22.280000000000005,-7.1800000000000015,-0.14189599507074865,-31.809999999999977,0.5183043478260869,0.53,-0.09054643255474469,CORE_CHECKPOINT_EXIT,,,,,,,,,,checkpoint_exit_grid,0.75,0.2,"{""SETTLEMENT"": 130, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 74, ""TARGET_11AM"": 64, ""TARGET_1PM"": 56, ""TARGET_3PM"": 76}",,,,,
