date,top_wallet_entered_polymarket,top_wallet_best_price_polymarket,top_wallet_bracket_type_polymarket,top_wallet_won_polymarket,our_bot_entered_kalshi,our_bot_best_price_kalshi,our_bot_gap_pp_kalshi,our_bot_won_kalshi,gumbel_prob_for_winner,actual_settlement_knyc,actual_settlement_klga,price_advantage_wallet,same_direction,timing_winner
2024-10-07,False,,,,True,0.9,11.36360041694232,True,,,,,,
2024-10-08,False,,,,True,0.61,30.173326029329473,True,,,,,,
2024-10-09,False,,,,True,0.53,23.250867787922857,True,,,,,,
2024-10-10,False,,,,True,0.47,29.563865469439243,True,,,,,,
2024-10-11,False,,,,True,0.5,26.674503584787267,True,,,,,,
2024-10-12,False,,,,True,0.52,28.468365940838215,True,,,,,,
2024-10-13,False,,,,True,0.2199999999999999,66.95458038776955,True,,,,,,
2024-10-14,False,,,,True,0.79,22.998681147684305,True,,,,,,
2024-10-15,False,,,,True,0.43,23.76855627165058,True,,,,,,
2024-10-16,False,,,,True,0.53,34.98666487759504,True,,,,,,
2024-10-17,False,,,,True,0.54,40.805551586983206,True,,,,,,
2024-10-18,False,,,,True,0.89,12.473741837451133,True,,,,,,
2024-10-20,False,,,,True,0.87,15.0,True,,,,,,
2024-10-23,False,,,,True,0.62,34.56643864491632,True,,,,,,
2024-10-24,False,,,,True,0.3,52.200979709446926,True,,,,,,
2024-10-26,False,,,,True,0.91,10.753154198408852,True,,,,,,
2024-10-27,False,,,,True,0.12,90.0,True,,,,,,
2024-10-28,False,,,,True,0.87,13.88217504108666,True,,,,,,
2024-10-29,False,,,,True,0.48,36.046681193915,True,,,,,,
2024-10-30,False,,,,True,0.2299999999999999,53.42074133406405,True,,,,,,
2024-10-31,False,,,,True,0.92,9.999690319762845,True,,,,,,
2024-11-02,False,,,,True,0.27,52.04952663992587,True,,,,,,
2024-11-03,False,,,,True,0.38,25.045386254348557,True,,,,,,
2024-11-04,False,,,,True,0.86,15.729801366551696,True,,,,,,
2024-11-05,False,,,,True,0.89,13.0,True,,,,,,
2024-11-06,False,,,,True,0.88,13.941800465415918,True,,,,,,
2024-11-07,False,,,,True,0.82,19.20818892687908,True,,,,,,
2024-11-09,False,,,,True,0.3,46.08542053305676,True,,,,,,
